Iterações, Bubble Sort, Insertion Sort, Heap Sort, Merge Sort, Quick Sort, Radix Sort
490, 287633, 119139, 13336, 10732, 8364, 8399
491, 288155, 120825, 13336, 10756, 8435, 8416
492, 287136, 120613, 13393, 10780, 8279, 8433
493, 288780, 120219, 13423, 10804, 8505, 8450
494, 292577, 122406, 13457, 10828, 8318, 8467
495, 292299, 123124, 13472, 10852, 8451, 8484
496, 293918, 122521, 13510, 10876, 8714, 8501
497, 295752, 123162, 13543, 10900, 8441, 8518
498, 296101, 124579, 13560, 10924, 8566, 8535
499, 299047, 125073, 13589, 10948, 8493, 8552
500, 301875, 125214, 13639, 10972, 8543, 8569
501, 301459, 125264, 13659, 10996, 8560, 8586
502, 300730, 126065, 13703, 11020, 8515, 8603
503, 305074, 127166, 13711, 11044, 8563, 8620
504, 305330, 127792, 13733, 11068, 8640, 8637
505, 305842, 127421, 13786, 11092, 8665, 8654
506, 308164, 128036, 13818, 11116, 8630, 8671
507, 308403, 128496, 13845, 11140, 8754, 8688
508, 307028, 128812, 13877, 11164, 8601, 8705
509, 311218, 129891, 13901, 11188, 8860, 8722
510, 311052, 130939, 13928, 11212, 9016, 8739
511, 312207, 130990, 13969, 11236, 8673, 8756
512, 313509, 132834, 13991, 11260, 8762, 8773
513, 315460, 132078, 14038, 11286, 8846, 8790
514, 313658, 131477, 14074, 11312, 8910, 8807
515, 317699, 131829, 14100, 11338, 8804, 8824
516, 318845, 134209, 14132, 11364, 8952, 8841
517, 321540, 133765, 14153, 11390, 8718, 8858
518, 322873, 134617, 14198, 11416, 8980, 8875
519, 320200, 134442, 14225, 11442, 9066, 8892
520, 323244, 134321, 14266, 11468, 8966, 8909
521, 324005, 135553, 14284, 11494, 8933, 8926
522, 325124, 136250, 14321, 11520, 8901, 8943
523, 327389, 136483, 14361, 11546, 8962, 8960
524, 330982, 138207, 14394, 11572, 9016, 8977
525, 328975, 137743, 14415, 11598, 9228, 8994
526, 331403, 137996, 14472, 11624, 8987, 9011
527, 332898, 139953, 14482, 11650, 9178, 9028
528, 334569, 139692, 14519, 11676, 9152, 9045
529, 336140, 141233, 14543, 11702, 9027, 9062
530, 337679, 140656, 14571, 11728, 9029, 9079
531, 334965, 140451, 14617, 11754, 9174, 9096
532, 339995, 142066, 14663, 11780, 9132, 9113
533, 341423, 142986, 14675, 11806, 9076, 9130
534, 340746, 142755, 14711, 11832, 9260, 9147
535, 344330, 144670, 14739, 11858, 9372, 9164
536, 345240, 144116, 14761, 11884, 9338, 9181
537, 346056, 144335, 14807, 11910, 9400, 9198
538, 345401, 145197, 14820, 11936, 9263, 9215
539, 347627, 144502, 14863, 11962, 9130, 9232
540, 348106, 145410, 14924, 11988, 9328, 9249
541, 352388, 147329, 14921, 12014, 9439, 9266
542, 351951, 146400, 14985, 12040, 9482, 9283
543, 353685, 147788, 14990, 12066, 9420, 9300
